rank,player_id,name,wins,games,winrate,period_start,period_end,quality,source
1,310a150e-3304-4e36-8328-97bbfe0a28f6,Guest8627,639,8578,7.45,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
2,b886a191-8850-4632-a8b3-b2b2f03cba88,leck sibbi,333,6646,5.01,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
3,0ac8bcaa-06a6-4f59-9a7a-5bcf730dd9d0,27,205,3553,5.77,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
4,2b6447a8-44de-485d-91fa-a9633b4a66af,ToJ QTN Nothing,180,2167,8.31,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
5,9397fe2e-dee1-48dc-b4a9-84d69b16b708,Anthony,178,7929,2.24,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
6,d6a94d5e-3924-4e4a-aede-94038d9c4a04,Randy Sandwich,174,4564,3.81,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
7,f45172ef-58c6-4054-a97b-aafa5dc492fb,Lavender77,143,3676,3.89,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
8,0c106935-7f93-4047-a66f-bf53ef779208,Refrag,132,3307,3.99,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
9,e37843f3-5e95-48de-bd9f-638bf5f4b84d,twilightphi,122,3315,3.68,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
10,81165876-ce4e-4e3c-a3a7-237720a31d4e,lizaveta,117,5258,2.23,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
11,313f4c0f-e782-4d19-a71b-a1ddf01cc8a2,handymanny,115,4040,2.85,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
12,e28b4f9d-915c-4eb1-9932-af4f14c16ae2,wot the fork,95,4849,1.96,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
13,c2836c77-5439-4cd2-8207-eeb5807f30f7,ToJ TRow,74,2965,2.5,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
14,a804268f-9c76-413e-808f-1e934fe46b90,Afterglow,65,3264,1.99,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
15,6ed71f6b-f000-4af1-beae-e1351fe01aab,. .,62,3524,1.76,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
16,b36f404b-c5f0-40b8-b70e-ef45cf916817,Shparkles,60,4524,1.33,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
17,16984496-8e4b-4bbe-b5af-57f361c7e9ca,jess ♡,60,2730,2.2,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
18,ef0f1623-66b8-4e57-9f0a-08b104875b7e,GrosserSpino,57,3915,1.46,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
19,0d92434d-0c79-4b2d-84fe-119415ace49f,TopFantom1111,57,3381,1.69,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
20,caf4e45f-81de-4c20-927e-f1a5820cf3cb,HC,55,5010,1.1,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
21,292f9c0f-693f-4937-8ae7-8bc1b7874d96,Den Kelly,55,3380,1.63,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
22,0ee46d5e-afdd-4786-b745-97e3df034412,Norsunaama,52,2494,2.09,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
23,0c17cbc7-57b1-454e-857b-b34934b5b156,Los diablo,52,2479,2.1,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
24,ede8b0c4-421f-4fb9-b0b2-7d2896d56585,DreamyBread.XCJF,31,2247,1.38,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
25,42cbe1e1-ee66-435b-9e5e-b10e1298213b,mochita,29,1974,1.47,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
26,c01c6a1f-3d78-4289-b6a6-5f05ae69f295,ToJ Seatr0n,23,2662,0.86,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
27,9092613a-e4db-4180-870a-7be368c530f8,HotDonut.65TN,18,3101,0.58,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
28,98aa547d-388e-4a04-9de2-498754736f49,chrixclub,15,4246,0.35,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
29,dae3c760-297e-4989-9070-2151a940c1cd,blackfire,15,3021,0.5,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
30,4d7a712b-50fa-4b68-9194-ac4440074ed2,WindStorm.pQBP,7,5740,0.12,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
31,e66af725-24c9-4358-a2f8-931ce82b7182,Frijoles,5,3060,0.16,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
32,4cee8b5d-7340-4cd4-980d-38c59a322b7f,Lord Cuctus,3,5363,0.06,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
33,4fd67bf9-5151-4f34-aae0-e9f0a67fad9b,MEESEEK,2,2639,0.08,2025-01-07,2025-01-31,estimated,exports/yearly/2025_race.csv
